java -jar itc2021.jar ITC2021_Middle_1.xml ITC2021_Middle_1Soln.xml -start ITC2021_Middle_1Soln.xml -seed 1 -time 10800 -verbose 0 -fixOptTime 100

Instance....: Middle1
Algorithm...: ILS (rnaMax=50K, itersP=50, p0=1, pMax=20)
Other params: maxIters=1000K, seed=1, timeLimit=10800.00s

    /------------------------------------------------------------\
    |     Iter |   Gap(%) |         S* |         S' |       Time | 
    |     328K |        - |    19_6420 |    19_6420 |    1511.65 | *
    |     329K |        - |    19_6410 |    19_6410 |    1511.69 | *
    |     329K |        - |    18_6390 |    18_6390 |    1512.42 | *
    |     339K |        - |    16_6530 |    16_6530 |    1524.41 | *
    |     339K |        - |    16_6521 |    16_6521 |    1524.51 | *
    |     340K |        - |    16_6520 |    16_6520 |    1524.54 | *
    |     340K |        - |    16_6515 |    16_6515 |    1524.93 | *
    |     390K |        - |     5_6039 |    16_6515 |    1558.49 | p-1
    | ILS perturbation level=1                      |    1558.49 | 
    |     390K |        - |     5_6039 |    50_6125 |    1558.49 | p-1
    |     390K |        - |     5_6039 |     5_6039 |    1558.50 | *
    |     400K |        - |     5_6039 |     5_6039 |    1562.20 | 
    |     440K |        - |     5_6039 |     5_6039 |    1581.47 | p-1
    | ILS perturbation level=1                      |    1581.47 | 
    |     440K |        - |     5_6039 |    52_6011 |    1581.47 | p-1
    |     440K |        - |    45_6013 |    45_6013 |    1582.78 | *
    |     440K |        - |    45_6003 |    45_6003 |    1582.79 | *
    |     440K |        - |    41_6028 |    41_6028 |    1585.63 | *
    |     440K |        - |    39_6033 |    39_6033 |    1586.23 | *
    |     441K |        - |    38_6075 |    38_6075 |    1686.32 | *
    |     441K |        - |    38_6065 |    38_6065 |    1686.34 | *
    |     442K |        - |    38_6059 |    38_6059 |    1686.87 | *
    |     443K |        - |    22_6095 |    22_6095 |    1688.08 | *
    |     443K |        - |    17_6104 |    17_6104 |    1688.09 | *
    |     443K |        - |    10_6108 |    10_6108 |    1688.20 | *
    |     443K |        - |    10_6103 |    10_6103 |    1688.20 | *
    |     443K |        - |    10_6093 |    10_6093 |    1688.32 | *
    |     444K |        - |    10_6089 |    10_6089 |    1688.71 | *
    |     444K |        - |    10_6085 |    10_6085 |    1688.75 | *
    |     455K |        - |     9_6069 |     9_6069 |    1700.14 | *
    |     455K |        - |     9_6059 |     9_6059 |    1700.46 | *
    |     456K |        - |     5_6039 |     5_6039 |    1702.13 | *
    |     500K |        - |     5_6039 |     5_6039 |    1729.43 | 
    |     506K |        - |     5_6039 |     5_6039 |    1731.90 | p-1
    | ILS perturbation level=1                      |    1731.90 | 
    |     506K |        - |     5_6039 |    16_6090 |    1731.90 | p-1
    |     506K |        - |    13_6090 |    13_6090 |    1731.99 | *
    |     510K |        - |    12_6192 |    12_6192 |    1744.26 | *
    |     512K |        - |     6_6141 |     6_6141 |    1746.58 | *
    |     512K |        - |     6_6135 |     6_6135 |    1746.59 | *
    |     512K |        - |     6_6130 |     6_6130 |    1746.61 | *
    |     535K |        - |     6_6129 |     6_6129 |    1757.52 | *
    |     585K |        - |     5_6039 |     6_6129 |    1778.69 | p-1
    | ILS perturbation level=1                      |    1778.69 | 
    |     585K |        - |     5_6039 |    28_6135 |    1778.69 | p-1
    |     585K |        - |    28_6129 |    28_6129 |    1778.70 | *
    |     585K |        - |    22_6110 |    22_6110 |    1878.79 | *
    |     585K |        - |    21_6116 |    21_6116 |    1878.97 | *
    |     585K |        - |    21_6101 |    21_6101 |    1878.97 | *
    |     585K |        - |    21_6076 |    21_6076 |    1878.97 | *
    |     585K |        - |    21_6046 |    21_6046 |    1878.98 | *
    |     586K |        - |    21_6021 |    21_6021 |    1879.21 | *
    |     587K |        - |    20_6095 |    20_6095 |    1882.31 | *
    |     587K |        - |    20_6085 |    20_6085 |    1882.51 | *
    |     592K |        - |    19_6126 |    19_6126 |    1884.60 | *
    |     593K |        - |    18_6130 |    18_6130 |    1885.08 | *
    |     594K |        - |    18_6129 |    18_6129 |    1885.68 | *
    |     600K |        - |    17_6127 |    17_6127 |    1887.67 | *
    |     600K |        - |    17_6127 |    17_6127 |    1887.83 | 
    |     612K |        - |    15_6046 |    15_6046 |    1892.09 | *
    |     637K |        - |    14_6160 |    14_6160 |    1909.88 | *
    |     687K |        - |     5_6039 |    14_6160 |    1930.91 | p-1
    | ILS perturbation level=1                      |    1930.91 | 
    |     687K |        - |     5_6039 |    12_6034 |    1930.91 | p-1
    |     688K |        - |     5_6039 |     5_6039 |    1930.95 | *
    |     700K |        - |     5_6039 |     5_6039 |    1934.84 | 
    |     738K |        - |     5_6039 |     5_6039 |    1950.26 | p-1
    | ILS perturbation level=1                      |    1950.26 | 
    |     738K |        - |     5_6039 |    41_6073 |    1950.26 | p-1
    |     738K |        - |    40_6087 |    40_6087 |    1950.27 | *
    |     738K |        - |    40_6052 |    40_6052 |    1950.28 | *
    |     738K |        - |    38_6058 |    38_6058 |    1950.31 | *
    |     738K |        - |    32_6220 |    32_6220 |    1987.23 | *
    |     738K |        - |    31_6330 |    31_6330 |    1987.39 | *
    |     738K |        - |    30_6311 |    30_6311 |    1987.79 | *
    |     738K |        - |    28_6326 |    28_6326 |    1987.79 | *
    |     739K |        - |    28_6315 |    28_6315 |    1988.00 | *
    |     739K |        - |    28_6300 |    28_6300 |    1988.02 | *
    |     740K |        - |    24_6364 |    24_6364 |    1988.84 | *
    |     760K |        - |    23_6332 |    23_6332 |    1998.12 | *
    |     773K |        - |    20_6311 |    20_6311 |    2010.18 | *
    |     774K |        - |    20_6310 |    20_6310 |    2010.63 | *
    |     784K |        - |    20_6295 |    20_6295 |    2014.54 | *
    |     800K |        - |    20_6295 |    20_6295 |    2022.06 | 
    |     823K |        - |    19_6321 |    19_6321 |    2034.53 | *
    |     872K |        - |    18_6272 |    18_6272 |    2057.69 | *
    |     872K |        - |    18_6267 |    18_6267 |    2057.88 | *
    |     873K |        - |    18_6266 |    18_6266 |    2058.22 | *
    |     900K |        - |    18_6266 |    18_6266 |    2070.16 | 
    |     911K |        - |    17_6310 |    17_6310 |    2076.04 | *
    |     961K |        - |     5_6039 |    17_6310 |    2094.21 | p-1
    | ILS perturbation level=1                      |    2094.21 | 
    |     961K |        - |     5_6039 |    11_6027 |    2094.21 | p-1
    |     961K |        - |     9_6047 |     9_6047 |    2094.22 | *
    |     961K |        - |     9_6042 |     9_6042 |    2094.26 | *
    |     963K |        - |     5_6049 |     5_6049 |    2094.82 | *
    |     964K |        - |     5_6039 |     5_6039 |    2095.22 | *
    |    1000K |        - |     5_6039 |     5_6039 |    2109.65 | 
    |    1014K |        - |     5_6039 |     5_6039 |    2114.85 | p-1
    | ILS perturbation level=1                      |    2114.85 | 
    |    1014K |        - |     5_6039 |    33_6094 |    2114.85 | p-1
    |    1014K |        - |    29_6085 |    29_6085 |    2114.85 | *
    |    1014K |        - |     9_6040 |     9_6040 |    2115.28 | *
    |    1015K |        - |     5_6039 |     5_6039 |    2115.32 | *
    |    1065K |        - |     5_6039 |     5_6039 |    2132.96 | p-1
    | ILS perturbation level=1                      |    2132.96 | 
    |    1065K |        - |     5_6039 |    11_6046 |    2132.96 | p-1
    |    1065K |        - |     5_6039 |     5_6039 |    2133.11 | *
    |    1100K |        - |     5_6039 |     5_6039 |    2146.97 | 
    |    1115K |        - |     5_6039 |     5_6039 |    2151.75 | p-1
    | ILS perturbation level=1                      |    2151.75 | 
    |    1115K |        - |     5_6039 |    16_6090 |    2151.75 | p-1
    |    1115K |        - |    13_6090 |    13_6090 |    2151.91 | *
    |    1129K |        - |    12_6104 |    12_6104 |    2157.74 | *
    |    1130K |        - |    12_6100 |    12_6100 |    2157.97 | *
    |    1132K |        - |    11_6219 |    11_6219 |    2160.43 | *
    |    1132K |        - |    11_6194 |    11_6194 |    2160.43 | *
    |    1132K |        - |    10_6200 |    10_6200 |    2160.65 | *
    |    1133K |        - |     6_6154 |     6_6154 |    2160.97 | *
    |    1133K |        - |     6_6148 |     6_6148 |    2160.97 | *
    |    1133K |        - |     6_6143 |     6_6143 |    2160.99 | *
    |    1134K |        - |     6_6133 |     6_6133 |    2161.05 | *
    |    1136K |        - |     6_6132 |     6_6132 |    2161.79 | *
    |    1136K |        - |     6_6127 |     6_6127 |    2161.80 | *
    |    1186K |        - |     5_6039 |     6_6127 |    2180.88 | p-1
    | ILS perturbation level=1                      |    2180.88 | 
    |    1186K |        - |     5_6039 |    32_6089 |    2180.88 | p-1
    |    1186K |        - |    31_6098 |    31_6098 |    2180.89 | *
    |    1186K |        - |    26_6093 |    26_6093 |    2180.89 | *
    |    1186K |        - |    26_6079 |    26_6079 |    2180.89 | *
    |    1186K |        - |    23_6069 |    23_6069 |    2181.02 | *
    |    1188K |        - |    23_6067 |    23_6067 |    2181.82 | *
    |    1188K |        - |    23_6032 |    23_6032 |    2181.98 | *
    |    1188K |        - |    17_6032 |    17_6032 |    2181.99 | *
    |    1188K |        - |    17_6029 |    17_6029 |    2181.99 | *
    |    1188K |        - |    15_6030 |    15_6030 |    2182.01 | *
    |    1188K |        - |    10_6025 |    10_6025 |    2182.01 | *
    |    1188K |        - |     8_6025 |     8_6025 |    2182.02 | *
    |    1193K |        - |     7_6119 |     7_6119 |    2184.18 | *
    |    1200K |        - |     7_6119 |     7_6119 |    2186.83 | 
    |    1204K |        - |     5_6158 |     5_6158 |    2188.68 | *
    |    1205K |        - |     5_6154 |     5_6154 |    2188.98 | *
    |    1206K |        - |     5_6039 |     5_6039 |    2189.24 | *
    |    1256K |        - |     5_6039 |     5_6039 |    2207.05 | p-1
    | ILS perturbation level=1                      |    2207.05 | 
    |    1256K |        - |     5_6039 |    37_6123 |    2207.05 | p-1
    |    1256K |        - |    33_6114 |    33_6114 |    2207.07 | *
    |    1256K |        - |    31_6214 |    31_6214 |    2207.36 | *
    |    1256K |        - |     9_6145 |     9_6145 |    2207.61 | *
    |    1256K |        - |     5_6154 |     5_6154 |    2207.63 | *
    |    1256K |        - |     5_6039 |     5_6039 |    2207.79 | *
    |    1300K |        - |     5_6039 |     5_6039 |    2224.54 | 
    |    1306K |        - |     5_6039 |     5_6039 |    2227.04 | p-1
    | ILS perturbation level=1                      |    2227.04 | 
    |    1306K |        - |     5_6039 |    39_5987 |    2227.04 | p-1
    |    1307K |        - |    35_5987 |    35_5987 |    2227.06 | *
    |    1307K |        - |    35_5982 |    35_5982 |    2227.07 | *
    |    1307K |        - |    35_5972 |    35_5972 |    2227.07 | *
    |    1307K |        - |    34_5968 |    34_5968 |    2227.09 | *
    |    1307K |        - |    27_5963 |    27_5963 |    2227.38 | *
    |    1307K |        - |    22_6020 |    22_6020 |    2227.38 | *
    |    1307K |        - |    15_6020 |    15_6020 |    2227.43 | *
    |    1308K |        - |     9_6025 |     9_6025 |    2227.45 | *
    |    1308K |        - |     8_6025 |     8_6025 |    2227.53 | *
    |    1311K |        - |     5_6039 |     5_6039 |    2228.73 | *
    |    1361K |        - |     5_6039 |     5_6039 |    2248.18 | p-1
    | ILS perturbation level=1                      |    2248.18 | 
    |    1361K |        - |     5_6039 |    30_6000 |    2248.20 | p-1
    |    1362K |        - |    30_5994 |    30_5994 |    2248.36 | *
    |    1362K |        - |    29_6100 |    29_6100 |    2248.91 | *
    |    1362K |        - |    26_6044 |    26_6044 |    2249.32 | *
    |    1363K |        - |    26_5934 |    26_5934 |    2249.53 | *
    |    1363K |        - |    24_5925 |    24_5925 |    2249.70 | *
    |    1364K |        - |    23_5918 |    23_5918 |    2250.39 | *
    |    1372K |        - |    21_5933 |    21_5933 |    2253.45 | *
    |    1393K |        - |     8_6012 |     8_6012 |    2268.42 | *
    |    1395K |        - |     7_5967 |     7_5967 |    2269.58 | *
    |    1396K |        - |     7_5961 |     7_5961 |    2269.95 | *
    |    1400K |        - |     7_5961 |     7_5961 |    2271.78 | 
    |    1423K |        - |     6_5955 |     6_5955 |    2280.34 | *
    |    1500K |        - |     6_5955 |     6_5955 |    2312.07 | 
    |    1522K |        - |     5_6039 |     6_5955 |    2320.34 | p-1
    | ILS perturbation level=1                      |    2320.34 | 
    |    1522K |        - |     5_6039 |    14_6038 |    2320.34 | p-1
    |    1522K |        - |     5_6154 |     5_6154 |    2320.47 | *
    |    1523K |        - |     5_6039 |     5_6039 |    2320.48 | *
    |    1573K |        - |     5_6039 |     5_6039 |    2339.11 | p-1
    | ILS perturbation level=1                      |    2339.11 | 
    |    1573K |        - |     5_6039 |    44_6071 |    2339.11 | p-1
    |    1573K |        - |    39_6072 |    39_6072 |    2339.14 | *
    |    1573K |        - |     9_6045 |     9_6045 |    2339.52 | *
    |    1573K |        - |     5_6039 |     5_6039 |    2339.61 | *
    |    1600K |        - |     5_6039 |     5_6039 |    2349.80 | 
    |    1623K |        - |     5_6039 |     5_6039 |    2358.69 | p-1
    | ILS perturbation level=1                      |    2358.69 | 
    |    1623K |        - |     5_6039 |    50_6037 |    2358.69 | p-1
    |    1623K |        - |     5_6039 |     5_6039 |    2358.72 | *
    |    1673K |        - |     5_6039 |     5_6039 |    2376.75 | p-1
    | ILS perturbation level=1                      |    2376.75 | 
    |    1673K |        - |     5_6039 |    36_6053 |    2376.75 | p-1
    |    1673K |        - |    36_6044 |    36_6044 |    2376.75 | *
    |    1674K |        - |    32_6044 |    32_6044 |    2376.88 | *
    |    1674K |        - |    13_6045 |    13_6045 |    2376.90 | *
    |    1674K |        - |    12_6040 |    12_6040 |    2376.91 | *
    |    1674K |        - |    12_6035 |    12_6035 |    2377.09 | *
    |    1674K |        - |     8_6025 |     8_6025 |    2377.10 | *
    |    1675K |        - |     7_6119 |     7_6119 |    2377.57 | *
    |    1684K |        - |     5_6154 |     5_6154 |    2381.40 | *
    |    1685K |        - |     5_6039 |     5_6039 |    2381.65 | *
    |    1700K |        - |     5_6039 |     5_6039 |    2387.07 | 
    |    1735K |        - |     5_6039 |     5_6039 |    2398.94 | p-1
    | ILS perturbation level=1                      |    2398.94 | 
    |    1735K |        - |     5_6039 |    16_6110 |    2398.94 | p-1
    |    1735K |        - |    14_6105 |    14_6105 |    2399.09 | *
    |    1740K |        - |    13_6190 |    13_6190 |    2402.08 | *
    |    1741K |        - |    11_6070 |    11_6070 |    2402.77 | *
    |    1741K |        - |    11_6060 |    11_6060 |    2402.77 | *
    |    1742K |        - |    11_6056 |    11_6056 |    2402.83 | *
    |    1751K |        - |    11_6050 |    11_6050 |    2413.50 | *
    |    1800K |        - |    11_6050 |    11_6050 |    2434.38 | 
    |    1801K |        - |     5_6039 |    11_6050 |    2434.86 | p-1
    | ILS perturbation level=1                      |    2434.86 | 
    |    1801K |        - |     5_6039 |    49_6043 |    2434.86 | p-1
    |    1801K |        - |    48_6024 |    48_6024 |    2435.20 | *
    |    1802K |        - |     9_6075 |     9_6075 |    2435.22 | *
    |    1802K |        - |     9_6072 |     9_6072 |    2435.33 | *
    |    1802K |        - |     7_6040 |     7_6040 |    2435.47 | *
    |    1802K |        - |     5_6043 |     5_6043 |    2435.56 | *
    |    1802K |        - |     5_6039 |     5_6039 |    2435.72 | *
    |    1852K |        - |     5_6039 |     5_6039 |    2453.55 | p-1
    | ILS perturbation level=1                      |    2453.55 | 
    |    1852K |        - |     5_6039 |    41_6043 |    2453.55 | p-1
    |    1852K |        - |    34_6038 |    34_6038 |    2453.56 | *
    |    1852K |        - |    11_6039 |    11_6039 |    2453.60 | *
    |    1853K |        - |     5_6039 |     5_6039 |    2453.63 | *
    |    1900K |        - |     5_6039 |     5_6039 |    2471.41 | 
    |    1903K |        - |     5_6039 |     5_6039 |    2472.57 | p-1
    | ILS perturbation level=1                      |    2472.57 | 
    |    1903K |        - |     5_6039 |    11_6039 |    2472.57 | p-1
    |    1903K |        - |     5_6039 |     5_6039 |    2472.58 | *
    |    1953K |        - |     5_6039 |     5_6039 |    2491.43 | p-1
    | ILS perturbation level=1                      |    2491.43 | 
    |    1953K |        - |     5_6039 |    39_6163 |    2491.43 | p-1
    |    1953K |        - |     5_6039 |     5_6039 |    2491.43 | *
    |    2000K |        - |     5_6039 |     5_6039 |    2508.86 | 
    |    2003K |        - |     5_6039 |     5_6039 |    2510.04 | p-1
    | ILS perturbation level=1                      |    2510.04 | 
    |    2003K |        - |     5_6039 |    37_6042 |    2510.04 | p-1
    |    2003K |        - |    36_6042 |    36_6042 |    2510.04 | *
    |    2003K |        - |    34_6036 |    34_6036 |    2510.12 | *
    |    2003K |        - |    33_6036 |    33_6036 |    2510.12 | *
    |    2004K |        - |    32_6050 |    32_6050 |    2510.15 | *
    |    2004K |        - |    29_6051 |    29_6051 |    2510.20 | *
    |    2004K |        - |     7_6069 |     7_6069 |    2510.31 | *
    |    2004K |        - |     5_6043 |     5_6043 |    2510.42 | *
    |    2005K |        - |     5_6039 |     5_6039 |    2510.64 | *
    |    2055K |        - |     5_6039 |     5_6039 |    2527.34 | p-1
    | ILS perturbation level=1                      |    2527.34 | 
    |    2055K |        - |     5_6039 |    36_6014 |    2527.34 | p-1
    |    2055K |        - |    29_6034 |    29_6034 |    2528.03 | *
    |    2056K |        - |    29_6024 |    29_6024 |    2528.44 | *
    |    2057K |        - |    12_6034 |    12_6034 |    2528.65 | *
    |    2057K |        - |     5_6039 |     5_6039 |    2528.90 | *
    |    2100K |        - |     5_6039 |     5_6039 |    2545.16 | 
    |    2107K |        - |     5_6039 |     5_6039 |    2547.89 | p-1
    | ILS perturbation level=1                      |    2547.89 | 
    |    2107K |        - |     5_6039 |    46_5955 |    2547.89 | p-1
    |    2107K |        - |    44_5935 |    44_5935 |    2547.89 | *
    |    2107K |        - |    42_5925 |    42_5925 |    2547.89 | *
    |    2108K |        - |    33_5971 |    33_5971 |    2548.17 | *
    |    2109K |        - |    32_5991 |    32_5991 |    2549.15 | *
    |    2111K |        - |    31_6021 |    31_6021 |    2550.52 | *
    |    2112K |        - |    31_6001 |    31_6001 |    2550.64 | *
    |    2112K |        - |    27_5991 |    27_5991 |    2550.66 | *
    |    2112K |        - |    26_6001 |    26_6001 |    2550.67 | *
    |    2112K |        - |    25_5996 |    25_5996 |    2550.69 | *
    |    2112K |        - |    23_6016 |    23_6016 |    2550.69 | *
    |    2112K |        - |    23_6012 |    23_6012 |    2550.72 | *
    |    2112K |        - |    23_6007 |    23_6007 |    2550.83 | *
    |    2114K |        - |    23_5996 |    23_5996 |    2551.49 | *
    |    2122K |        - |    22_6038 |    22_6038 |    2554.94 | *
    |    2123K |        - |    22_6028 |    22_6028 |    2554.97 | *
    |    2123K |        - |    21_6003 |    21_6003 |    2554.97 | *
    |    2123K |        - |    21_6001 |    21_6001 |    2555.05 | *
    |    2123K |        - |    21_5996 |    21_5996 |    2555.05 | *
    |    2124K |        - |    19_6007 |    19_6007 |    2555.19 | *
    |    2124K |        - |    19_5997 |    19_5997 |    2555.24 | *
    |    2125K |        - |    19_5992 |    19_5992 |    2555.36 | *
    |    2128K |        - |    15_5960 |    15_5960 |    2557.26 | *
    |    2129K |        - |    13_5971 |    13_5971 |    2557.40 | *
    |    2130K |        - |    13_5967 |    13_5967 |    2557.79 | *
    |    2173K |        - |    12_6132 |    12_6132 |    2574.32 | *
    |    2173K |        - |    12_6122 |    12_6122 |    2574.34 | *
    |    2200K |        - |    12_6122 |    12_6122 |    2591.09 | 
    |    2223K |        - |     5_6039 |    12_6122 |    2608.97 | p-1
    | ILS perturbation level=1                      |    2608.98 | 
    |    2223K |        - |     5_6039 |    50_6125 |    2608.98 | p-1
    |    2224K |        - |     6_6039 |     6_6039 |    2609.01 | *
    |    2224K |        - |     5_6039 |     5_6039 |    2609.23 | *
    |    2274K |        - |     5_6039 |     5_6039 |    2630.58 | p-1
    | ILS perturbation level=1                      |    2630.58 | 
    |    2274K |        - |     5_6039 |    30_6074 |    2630.58 | p-1
    |    2274K |        - |    30_6069 |    30_6069 |    2630.60 | *
    |    2275K |        - |    29_6180 |    29_6180 |    2631.11 | *
    |    2275K |        - |    29_6155 |    29_6155 |    2631.13 | *
    |    2275K |        - |    29_6149 |    29_6149 |    2631.15 | *
    |    2275K |        - |    29_6144 |    29_6144 |    2631.43 | *
    |    2276K |        - |    29_6141 |    29_6141 |    2631.86 | *
    |    2277K |        - |    29_6131 |    29_6131 |    2632.02 | *
    |    2279K |        - |    28_6174 |    28_6174 |    2633.08 | *
    |    2279K |        - |    28_6164 |    28_6164 |    2633.08 | *
    |    2280K |        - |    28_6134 |    28_6134 |    2633.41 | *
    |    2280K |        - |    25_6150 |    25_6150 |    2633.90 | *
    |    2280K |        - |    25_6060 |    25_6060 |    2633.91 | *
    |    2294K |        - |    22_6074 |    22_6074 |    2639.49 | *
    |    2300K |        - |    22_6074 |    22_6074 |    2641.82 | 
    |    2324K |        - |    20_6036 |    20_6036 |    2655.75 | *
    |    2326K |        - |    19_6100 |    19_6100 |    2656.65 | *
    |    2327K |        - |    19_6096 |    19_6096 |    2657.41 | *
    |    2377K |        - |     5_6039 |    19_6096 |    2680.72 | p-1
    | ILS perturbation level=1                      |    2680.72 | 
    |    2377K |        - |     5_6039 |    48_6154 |    2680.72 | p-1
    |    2377K |        - |     5_6039 |     5_6039 |    2680.74 | *
    |    2400K |        - |     5_6039 |     5_6039 |    2688.05 | 
    |    2472K |        - |     5_6039 |     5_6039 |    2713.61 | p-1
    | ILS perturbation level=1                      |    2713.61 | 
    |    2472K |        - |     5_6039 |     7_6033 |    2713.61 | p-1
    |    2472K |        - |     5_6039 |     5_6039 |    2713.61 | *
    |    2500K |        - |     5_6039 |     5_6039 |    2722.57 | 
    |    2522K |        - |     5_6039 |     5_6039 |    2731.36 | p-1
    | ILS perturbation level=1                      |    2731.36 | 
    |    2522K |        - |     5_6039 |    59_6196 |    2731.36 | p-1
    |    2522K |        - |    58_6136 |    58_6136 |    2731.38 | *
    |    2523K |        - |    57_6237 |    57_6237 |    2731.53 | *
    |    2523K |        - |    57_6227 |    57_6227 |    2731.53 | *
    |    2523K |        - |    14_6129 |    14_6129 |    2731.55 | *
    |    2523K |        - |     9_5969 |     9_5969 |    2731.58 | *
    |    2523K |        - |     5_6039 |     5_6039 |    2731.70 | *
    |    2573K |        - |     5_6039 |     5_6039 |    2750.33 | p-1
    | ILS perturbation level=1                      |    2750.33 | 
    |    2573K |        - |     5_6039 |    12_6020 |    2750.33 | p-1
    |    2573K |        - |    11_6039 |    11_6039 |    2750.33 | *
    |    2574K |        - |     5_6039 |     5_6039 |    2750.46 | *
    |    2600K |        - |     5_6039 |     5_6039 |    2760.10 | 
    |    2624K |        - |     5_6039 |     5_6039 |    2769.62 | p-1
    | ILS perturbation level=1                      |    2769.62 | 
    |    2624K |        - |     5_6039 |    47_6120 |    2769.62 | p-1
    |    2624K |        - |    47_6116 |    47_6116 |    2769.63 | *
    |    2624K |        - |    46_6081 |    46_6081 |    2769.68 | *
