java -jar itc2021.jar ITC2021_Middle_2.xml ITC2021_Middle_2Soln.xml -start ITC2021_Middle_2Soln.xml -seed 1 -time 10800 -verbose 0 -fixOptTime 100

Instance....: Middle2
Algorithm...: ILS (rnaMax=50K, itersP=50, p0=1, pMax=20)
Other params: maxIters=1000K, seed=1, timeLimit=10800.00s

    /------------------------------------------------------------\
    |     Iter |   Gap(%) |         S* |         S' |       Time | 
    |     398K |        - |    17_7428 |    17_7428 |    1006.97 | p-1
    | ILS perturbation level=1                      |    1006.97 | 
    |     398K |        - |    17_7428 |    33_7463 |    1006.97 | p-1
    |     399K |        - |    17_7428 |    17_7428 |    1007.51 | *
    |     400K |        - |    17_7428 |    17_7428 |    1007.90 | 
    |     449K |        - |    17_7428 |    17_7428 |    1037.05 | p-1
    | ILS perturbation level=1                      |    1037.05 | 
    |     449K |        - |    17_7428 |   101_7636 |    1037.05 | p-1
    |     449K |        - |    96_7572 |    96_7572 |    1037.07 | *
    |     450K |        - |    94_7556 |    94_7556 |    1037.08 | *
    |     450K |        - |    78_7494 |    78_7494 |    1038.55 | *
    |     450K |        - |    78_7488 |    78_7488 |    1038.57 | *
    |     450K |        - |    72_7395 |    72_7395 |    1039.45 | *
    |     450K |        - |    71_7405 |    71_7405 |    1039.66 | *
    |     450K |        - |    70_7355 |    70_7355 |    1041.58 | *
    |     450K |        - |    68_7375 |    68_7375 |    1041.91 | *
    |     450K |        - |    66_7334 |    66_7334 |    1042.57 | *
    |     451K |        - |    64_7329 |    64_7329 |    1042.69 | *
    |     451K |        - |    63_7317 |    63_7317 |    1042.86 | *
    |     451K |        - |    63_7313 |    63_7313 |    1042.88 | *
    |     451K |        - |    63_7312 |    63_7312 |    1042.90 | *
    |     451K |        - |    62_7287 |    62_7287 |    1042.91 | *
    |     453K |        - |    59_7204 |    59_7204 |    1051.54 | *
    |     453K |        - |    58_7109 |    58_7109 |    1053.01 | *
    |     453K |        - |    56_7048 |    56_7048 |    1053.43 | *
    |     457K |        - |    54_7119 |    54_7119 |    1114.83 | *
    |     457K |        - |    52_7149 |    52_7149 |    1115.19 | *
    |     458K |        - |    51_7171 |    51_7171 |    1115.77 | *
    |     458K |        - |    50_7130 |    50_7130 |    1115.79 | *
    |     463K |        - |    43_7359 |    43_7359 |    1190.08 | *
    |     463K |        - |    41_7306 |    41_7306 |    1190.28 | *
    |     465K |        - |    40_7281 |    40_7281 |    1192.16 | *
    |     465K |        - |    39_7247 |    39_7247 |    1192.63 | *
    |     467K |        - |    35_7325 |    35_7325 |    1200.60 | *
    |     467K |        - |    34_7368 |    34_7368 |    1201.50 | *
    |     477K |        - |    33_7402 |    33_7402 |    1210.94 | *
    |     477K |        - |    32_7458 |    32_7458 |    1211.14 | *
    |     487K |        - |    31_7308 |    31_7308 |    1216.16 | *
    |     488K |        - |    31_7298 |    31_7298 |    1217.77 | *
    |     500K |        - |    31_7298 |    31_7298 |    1325.54 | 
    |     538K |        - |    17_7428 |    31_7298 |    1348.44 | p-1
    | ILS perturbation level=1                      |    1348.44 | 
    |     538K |        - |    17_7428 |    65_7461 |    1348.44 | p-1
    |     538K |        - |    17_7428 |    17_7428 |    1348.55 | *
    |     588K |        - |    17_7428 |    17_7428 |    1372.35 | p-1
    | ILS perturbation level=1                      |    1372.35 | 
    |     588K |        - |    17_7428 |    57_7626 |    1372.35 | p-1
    |     588K |        - |    57_7612 |    57_7612 |    1372.36 | *
    |     588K |        - |    52_7597 |    52_7597 |    1372.36 | *
    |     588K |        - |    48_7619 |    48_7619 |    1372.58 | *
    |     588K |        - |    48_7569 |    48_7569 |    1372.58 | *
    |     588K |        - |    48_7501 |    48_7501 |    1372.58 | *
    |     589K |        - |    48_7491 |    48_7491 |    1372.60 | *
    |     589K |        - |    44_7482 |    44_7482 |    1372.60 | *
    |     589K |        - |    42_7447 |    42_7447 |    1372.75 | *
    |     589K |        - |    41_7497 |    41_7497 |    1372.77 | *
    |     589K |        - |    41_7484 |    41_7484 |    1372.77 | *
    |     590K |        - |    35_7480 |    35_7480 |    1373.89 | *
    |     600K |        - |    35_7480 |    35_7480 |    1383.16 | 
    |     640K |        - |    17_7428 |    35_7480 |    1405.56 | p-1
    | ILS perturbation level=1                      |    1405.56 | 
    |     640K |        - |    17_7428 |    38_7312 |    1405.56 | p-1
    |     640K |        - |    33_7328 |    33_7328 |    1405.60 | *
    |     640K |        - |    29_7290 |    29_7290 |    1405.60 | *
    |     640K |        - |    25_7275 |    25_7275 |    1405.74 | *
    |     641K |        - |    24_7520 |    24_7520 |    1406.01 | *
    |     641K |        - |    23_7544 |    23_7544 |    1406.16 | *
    |     642K |        - |    23_7530 |    23_7530 |    1406.23 | *
    |     646K |        - |    22_7564 |    22_7564 |    1407.81 | *
    |     680K |        - |    19_7552 |    19_7552 |    1426.75 | *
    |     681K |        - |    18_7442 |    18_7442 |    1427.07 | *
    |     683K |        - |    17_7428 |    17_7428 |    1427.59 | *
    |     700K |        - |    17_7428 |    17_7428 |    1436.75 | 
    |     733K |        - |    17_7428 |    17_7428 |    1452.35 | p-1
    | ILS perturbation level=1                      |    1452.35 | 
    |     733K |        - |    17_7428 |    33_7459 |    1452.35 | p-1
    |     733K |        - |    30_7438 |    30_7438 |    1452.42 | *
    |     734K |        - |    17_7428 |    17_7428 |    1452.70 | *
    |     784K |        - |    17_7428 |    17_7428 |    1479.87 | p-1
    | ILS perturbation level=1                      |    1479.87 | 
    |     784K |        - |    17_7428 |    33_7418 |    1479.87 | p-1
    |     784K |        - |    27_7418 |    27_7418 |    1479.91 | *
    |     784K |        - |    25_7409 |    25_7409 |    1479.94 | *
    |     784K |        - |    17_7428 |    17_7428 |    1480.09 | *
    |     800K |        - |    17_7428 |    17_7428 |    1487.19 | 
    |     834K |        - |    17_7428 |    17_7428 |    1501.97 | p-1
    | ILS perturbation level=1                      |    1501.97 | 
    |     834K |        - |    17_7428 |    70_7367 |    1501.97 | p-1
    |     835K |        - |    67_7366 |    67_7366 |    1502.00 | *
    |     835K |        - |    61_7362 |    61_7362 |    1502.28 | *
    |     835K |        - |    59_7406 |    59_7406 |    1503.05 | *
    |     835K |        - |    55_7413 |    55_7413 |    1503.70 | *
    |     835K |        - |    55_7412 |    55_7412 |    1503.77 | *
    |     835K |        - |    55_7397 |    55_7397 |    1503.77 | *
    |     835K |        - |    52_7306 |    52_7306 |    1505.07 | *
    |     835K |        - |    52_7296 |    52_7296 |    1505.07 | *
    |     835K |        - |    51_7356 |    51_7356 |    1505.07 | *
    |     835K |        - |    48_7351 |    48_7351 |    1506.13 | *
    |     836K |        - |    47_7403 |    47_7403 |    1507.64 | *
    |     837K |        - |    45_7377 |    45_7377 |    1508.08 | *
    |     851K |        - |    40_7368 |    40_7368 |    1517.89 | *
    |     851K |        - |    39_7408 |    39_7408 |    1518.17 | *
    |     900K |        - |    39_7408 |    39_7408 |    1657.11 | 
    |     901K |        - |    17_7428 |    39_7408 |    1657.74 | p-1
    | ILS perturbation level=1                      |    1657.74 | 
    |     901K |        - |    17_7428 |    98_7718 |    1657.74 | p-1
    |     901K |        - |    97_7723 |    97_7723 |    1657.74 | *
    |     901K |        - |    92_7717 |    92_7717 |    1657.74 | *
    |     902K |        - |    88_7644 |    88_7644 |    1657.88 | *
    |     902K |        - |    86_7650 |    86_7650 |    1657.88 | *
    |     902K |        - |    21_7383 |    21_7383 |    1657.99 | *
    |     904K |        - |    17_7428 |    17_7428 |    1658.80 | *
    |     954K |        - |    17_7428 |    17_7428 |    1680.94 | p-1
    | ILS perturbation level=1                      |    1680.94 | 
    |     954K |        - |    17_7428 |    66_7431 |    1680.94 | p-1
    |     954K |        - |    17_7428 |    17_7428 |    1681.08 | *
    |    1000K |        - |    17_7428 |    17_7428 |    1705.65 | 
    |    1004K |        - |    17_7428 |    17_7428 |    1707.54 | p-1
    | ILS perturbation level=1                      |    1707.54 | 
    |    1004K |        - |    17_7428 |    69_7607 |    1707.54 | p-1
    |    1004K |        - |    65_7642 |    65_7642 |    1707.56 | *
    |    1004K |        - |    63_7632 |    63_7632 |    1707.69 | *
    |    1004K |        - |    25_7458 |    25_7458 |    1707.70 | *
    |    1004K |        - |    19_7448 |    19_7448 |    1707.72 | *
    |    1004K |        - |    18_7448 |    18_7448 |    1707.78 | *
    |    1004K |        - |    17_7428 |    17_7428 |    1707.89 | *
    |    1054K |        - |    17_7428 |    17_7428 |    1731.02 | p-1
    | ILS perturbation level=1                      |    1731.02 | 
    |    1054K |        - |    17_7428 |    65_7467 |    1731.02 | p-1
    |    1055K |        - |    57_7447 |    57_7447 |    1731.08 | *
    |    1055K |        - |    26_7428 |    26_7428 |    1731.10 | *
    |    1055K |        - |    17_7428 |    17_7428 |    1731.13 | *
    |    1100K |        - |    17_7428 |    17_7428 |    1750.72 | 
    |    1105K |        - |    17_7428 |    17_7428 |    1752.68 | p-1
    | ILS perturbation level=1                      |    1752.68 | 
    |    1105K |        - |    17_7428 |    50_7373 |    1752.68 | p-1
    |    1105K |        - |    49_7468 |    49_7468 |    1752.71 | *
    |    1105K |        - |    48_7498 |    48_7498 |    1752.74 | *
    |    1106K |        - |    41_7482 |    41_7482 |    1752.82 | *
    |    1106K |        - |    27_7597 |    27_7597 |    1753.18 | *
    |    1106K |        - |    20_7593 |    20_7593 |    1753.31 | *
    |    1106K |        - |    19_7553 |    19_7553 |    1753.44 | *
    |    1107K |        - |    17_7428 |    17_7428 |    1754.05 | *
    |    1157K |        - |    17_7428 |    17_7428 |    1778.74 | p-1
    | ILS perturbation level=1                      |    1778.74 | 
    |    1157K |        - |    17_7428 |    52_7540 |    1778.74 | p-1
    |    1157K |        - |    52_7530 |    52_7530 |    1778.87 | *
    |    1157K |        - |    52_7480 |    52_7480 |    1778.88 | *
    |    1158K |        - |    40_7489 |    40_7489 |    1779.05 | *
    |    1158K |        - |    33_7442 |    33_7442 |    1779.07 | *
    |    1158K |        - |    32_7444 |    32_7444 |    1779.33 | *
    |    1158K |        - |    32_7414 |    32_7414 |    1779.33 | *
    |    1158K |        - |    29_7429 |    29_7429 |    1779.35 | *
    |    1158K |        - |    17_7428 |    17_7428 |    1779.37 | *
    |    1200K |        - |    17_7428 |    17_7428 |    1796.66 | 
    |    1208K |        - |    17_7428 |    17_7428 |    1800.42 | p-1
    | ILS perturbation level=1                      |    1800.42 | 
    |    1208K |        - |    17_7428 |    49_7492 |    1800.42 | p-1
    |    1208K |        - |    44_7467 |    44_7467 |    1801.35 | *
    |    1208K |        - |    43_7437 |    43_7437 |    1801.86 | *
    |    1208K |        - |    22_7433 |    22_7433 |    1801.88 | *
    |    1209K |        - |    18_7423 |    18_7423 |    1801.94 | *
    |    1209K |        - |    17_7428 |    17_7428 |    1802.03 | *
    |    1259K |        - |    17_7428 |    17_7428 |    1829.66 | p-1
    | ILS perturbation level=1                      |    1829.66 | 
    |    1259K |        - |    17_7428 |    78_7447 |    1829.66 | p-1
    |    1259K |        - |    77_7452 |    77_7452 |    1829.66 | *
    |    1259K |        - |    75_7451 |    75_7451 |    1829.83 | *
    |    1259K |        - |    72_7450 |    72_7450 |    1829.85 | *
    |    1259K |        - |    69_7450 |    69_7450 |    1829.88 | *
    |    1259K |        - |    64_7445 |    64_7445 |    1829.91 | *
    |    1261K |        - |    62_7516 |    62_7516 |    1830.25 | *
    |    1261K |        - |    55_7581 |    55_7581 |    1830.46 | *
    |    1261K |        - |    55_7571 |    55_7571 |    1830.64 | *
    |    1262K |        - |    55_7556 |    55_7556 |    1833.49 | *
    |    1264K |        - |    54_7516 |    54_7516 |    1834.08 | *
    |    1264K |        - |    54_7506 |    54_7506 |    1837.94 | *
    |    1264K |        - |    50_7429 |    50_7429 |    1838.21 | *
    |    1265K |        - |    50_7420 |    50_7420 |    1838.22 | *
    |    1266K |        - |    49_7423 |    49_7423 |    1839.44 | *
    |    1267K |        - |    44_7540 |    44_7540 |    1840.02 | *
    |    1269K |        - |    44_7526 |    44_7526 |    1841.08 | *
    |    1280K |        - |    42_7479 |    42_7479 |    1850.38 | *
    |    1284K |        - |    42_7465 |    42_7465 |    1859.49 | *
    |    1285K |        - |    41_7530 |    41_7530 |    1864.32 | *
    |    1300K |        - |    41_7530 |    41_7530 |    1874.10 | 
    |    1300K |        - |    40_7604 |    40_7604 |    1879.89 | *
    |    1301K |        - |    40_7603 |    40_7603 |    1879.96 | *
    |    1301K |        - |    37_7468 |    37_7468 |    1880.11 | *
    |    1351K |        - |    17_7428 |    37_7468 |    1916.29 | p-1
    | ILS perturbation level=1                      |    1916.29 | 
    |    1351K |        - |    17_7428 |    30_7427 |    1916.29 | p-1
    |    1352K |        - |    17_7428 |    17_7428 |    1916.46 | *
    |    1400K |        - |    17_7428 |    17_7428 |    1937.24 | 
    |    1402K |        - |    17_7428 |    17_7428 |    1937.91 | p-1
    | ILS perturbation level=1                      |    1937.91 | 
    |    1402K |        - |    17_7428 |    67_7495 |    1937.91 | p-1
    |    1402K |        - |    65_7494 |    65_7494 |    1937.91 | *
    |    1402K |        - |    54_7529 |    54_7529 |    1939.06 | *
    |    1402K |        - |    53_7483 |    53_7483 |    1939.34 | *
    |    1402K |        - |    52_7483 |    52_7483 |    1939.34 | *
    |    1402K |        - |    52_7468 |    52_7468 |    1939.34 | *
    |    1402K |        - |    52_7456 |    52_7456 |    1939.35 | *
    |    1402K |        - |    51_7467 |    51_7467 |    1940.29 | *
    |    1403K |        - |    48_7453 |    48_7453 |    1940.53 | *
    |    1403K |        - |    44_7460 |    44_7460 |    1941.58 | *
    |    1404K |        - |    19_7408 |    19_7408 |    1942.36 | *
    |    1404K |        - |    17_7428 |    17_7428 |    1942.42 | *
    |    1454K |        - |    17_7428 |    17_7428 |    1966.19 | p-1
    | ILS perturbation level=1                      |    1966.19 | 
    |    1454K |        - |    17_7428 |    43_7429 |    1966.19 | p-1
    |    1454K |        - |    17_7428 |    17_7428 |    1966.19 | *
    |    1500K |        - |    17_7428 |    17_7428 |    1987.00 | 
    |    1504K |        - |    17_7428 |    17_7428 |    1988.86 | p-1
    | ILS perturbation level=1                      |    1988.86 | 
    |    1504K |        - |    17_7428 |    33_7463 |    1988.86 | p-1
    |    1505K |        - |    17_7428 |    17_7428 |    1989.07 | *
    |    1555K |        - |    17_7428 |    17_7428 |    2010.93 | p-1
    | ILS perturbation level=1                      |    2010.93 | 
    |    1555K |        - |    17_7428 |   101_7636 |    2010.93 | p-1
    |    1556K |        - |    97_7671 |    97_7671 |    2010.93 | *
    |    1556K |        - |    78_7581 |    78_7581 |    2011.32 | *
    |    1556K |        - |    77_7581 |    77_7581 |    2011.35 | *
    |    1556K |        - |    77_7556 |    77_7556 |    2012.37 | *
    |    1556K |        - |    74_7525 |    74_7525 |    2012.39 | *
    |    1556K |        - |    72_7555 |    72_7555 |    2012.39 | *
    |    1556K |        - |    67_7514 |    67_7514 |    2012.70 | *
    |    1557K |        - |    65_7827 |    65_7827 |    2013.59 | *
    |    1557K |        - |    53_7780 |    53_7780 |    2020.66 | *
    |    1557K |        - |    53_7775 |    53_7775 |    2020.71 | *
    |    1559K |        - |    52_7730 |    52_7730 |    2025.94 | *
    |    1566K |        - |    51_7687 |    51_7687 |    2081.83 | *
    |    1572K |        - |    50_7681 |    50_7681 |    2088.13 | *
    |    1576K |        - |    47_7626 |    47_7626 |    2096.29 | *
    |    1576K |        - |    47_7616 |    47_7616 |    2096.30 | *
    |    1580K |        - |    46_7675 |    46_7675 |    2098.93 | *
    |    1600K |        - |    46_7675 |    46_7675 |    2118.56 | 
    |    1604K |        - |    44_7616 |    44_7616 |    2121.80 | *
    |    1604K |        - |    44_7596 |    44_7596 |    2121.84 | *
    |    1604K |        - |    44_7586 |    44_7586 |    2121.93 | *
    |    1605K |        - |    44_7516 |    44_7516 |    2122.01 | *
    |    1654K |        - |    43_7637 |    43_7637 |    2162.72 | *
    |    1654K |        - |    42_7707 |    42_7707 |    2163.44 | *
    |    1694K |        - |    41_7660 |    41_7660 |    2209.66 | *
    |    1700K |        - |    41_7660 |    41_7660 |    2211.64 | 
    |    1713K |        - |    40_7652 |    40_7652 |    2223.88 | *
    |    1719K |        - |    39_7614 |    39_7614 |    2243.05 | *
    |    1720K |        - |    39_7589 |    39_7589 |    2243.43 | *
    |    1720K |        - |    38_7533 |    38_7533 |    2245.06 | *
    |    1725K |        - |    37_7790 |    37_7790 |    2251.28 | *
    |    1725K |        - |    37_7699 |    37_7699 |    2251.30 | *
    |    1726K |        - |    37_7683 |    37_7683 |    2251.76 | *
    |    1736K |        - |    34_7649 |    34_7649 |    2257.42 | *
    |    1776K |        - |    33_7618 |    33_7618 |    2281.00 | *
    |    1779K |        - |    32_7613 |    32_7613 |    2285.22 | *
    |    1800K |        - |    32_7613 |    32_7613 |    2295.23 | 
    |    1829K |        - |    17_7428 |    32_7613 |    2310.38 | p-1
    | ILS perturbation level=1                      |    2310.38 | 
    |    1829K |        - |    17_7428 |    28_7428 |    2310.38 | p-1
    |    1829K |        - |    25_7407 |    25_7407 |    2310.38 | *
    |    1830K |        - |    17_7428 |    17_7428 |    2310.65 | *
    |    1880K |        - |    17_7428 |    17_7428 |    2331.60 | p-1
    | ILS perturbation level=1                      |    2331.60 | 
    |    1880K |        - |    17_7428 |    32_7418 |    2331.60 | p-1
    |    1880K |        - |    28_7421 |    28_7421 |    2331.63 | *
    |    1880K |        - |    28_7415 |    28_7415 |    2331.65 | *
    |    1880K |        - |    28_7410 |    28_7410 |    2331.72 | *
    |    1881K |        - |    20_7442 |    20_7442 |    2332.80 | *
    |    1882K |        - |    18_7448 |    18_7448 |    2332.86 | *
    |    1883K |        - |    17_7428 |    17_7428 |    2333.57 | *
    |    1900K |        - |    17_7428 |    17_7428 |    2340.54 | 
    |    1933K |        - |    17_7428 |    17_7428 |    2354.72 | p-1
    | ILS perturbation level=1                      |    2354.72 | 
    |    1933K |        - |    17_7428 |    79_7444 |    2354.72 | p-1
    |    1933K |        - |    73_7434 |    73_7434 |    2354.75 | *
    |    1933K |        - |    66_7414 |    66_7414 |    2355.20 | *
    |    1934K |        - |    65_7419 |    65_7419 |    2355.26 | *
    |    1934K |        - |    64_7402 |    64_7402 |    2355.61 | *
    |    1934K |        - |    52_7336 |    52_7336 |    2356.20 | *
    |    1934K |        - |    49_7366 |    49_7366 |    2356.83 | *
    |    1935K |        - |    44_7579 |    44_7579 |    2357.85 | *
    |    1936K |        - |    44_7538 |    44_7538 |    2357.88 | *
    |    1936K |        - |    41_7547 |    41_7547 |    2357.89 | *
    |    1937K |        - |    40_7613 |    40_7613 |    2358.94 | *
    |    1940K |        - |    39_7551 |    39_7551 |    2361.27 | *
    |    1941K |        - |    39_7531 |    39_7531 |    2361.99 | *
    |    1942K |        - |    37_7561 |    37_7561 |    2362.39 | *
    |    1970K |        - |    34_7512 |    34_7512 |    2397.87 | *
    |    2000K |        - |    34_7512 |    34_7512 |    2413.30 | 
    |    2020K |        - |    17_7428 |    34_7512 |    2422.74 | p-1
    | ILS perturbation level=1                      |    2422.74 | 
    |    2020K |        - |    17_7428 |    30_7448 |    2422.74 | p-1
    |    2021K |        - |    17_7428 |    17_7428 |    2422.91 | *
    |    2071K |        - |    17_7428 |    17_7428 |    2447.32 | p-1
    | ILS perturbation level=1                      |    2447.32 | 
    |    2071K |        - |    17_7428 |    57_7626 |    2447.32 | p-1
    |    2071K |        - |    49_7641 |    49_7641 |    2447.51 | *
    |    2071K |        - |    46_7641 |    46_7641 |    2447.76 | *
    |    2072K |        - |    46_7591 |    46_7591 |    2448.21 | *
    |    2073K |        - |    46_7581 |    46_7581 |    2448.26 | *
    |    2073K |        - |    46_7541 |    46_7541 |    2448.30 | *
    |    2073K |        - |    44_7552 |    44_7552 |    2448.44 | *
    |    2088K |        - |    42_7422 |    42_7422 |    2459.66 | *
    |    2088K |        - |    41_7431 |    41_7431 |    2459.79 | *
    |    2090K |        - |    34_7556 |    34_7556 |    2462.05 | *
    |    2090K |        - |    33_7551 |    33_7551 |    2462.24 | *
    |    2090K |        - |    33_7547 |    33_7547 |    2462.43 | *
    |    2091K |        - |    32_7572 |    32_7572 |    2462.52 | *
    |    2091K |        - |    31_7572 |    31_7572 |    2462.68 | *
    |    2091K |        - |    31_7568 |    31_7568 |    2462.80 | *
    |    2092K |        - |    21_7583 |    21_7583 |    2463.15 | *
    |    2092K |        - |    20_7568 |    20_7568 |    2463.16 | *
    |    2100K |        - |    20_7568 |    20_7568 |    2467.48 | 
    |    2142K |        - |    17_7428 |    20_7568 |    2486.57 | p-1
    | ILS perturbation level=1                      |    2486.57 | 
    |    2142K |        - |    17_7428 |    25_7432 |    2486.57 | p-1
    |    2142K |        - |    17_7428 |    17_7428 |    2486.68 | *
    |    2192K |        - |    17_7428 |    17_7428 |    2512.00 | p-1
    | ILS perturbation level=1                      |    2512.00 | 
    |    2192K |        - |    17_7428 |    50_7472 |    2512.00 | p-1
    |    2192K |        - |    50_7468 |    50_7468 |    2512.03 | *
    |    2192K |        - |    44_7593 |    44_7593 |    2512.37 | *
    |    2192K |        - |    42_7634 |    42_7634 |    2512.61 | *
    |    2192K |        - |    42_7555 |    42_7555 |    2512.87 | *
    |    2193K |        - |    40_7554 |    40_7554 |    2513.01 | *
    |    2193K |        - |    40_7549 |    40_7549 |    2513.22 | *
    |    2196K |        - |    38_7619 |    38_7619 |    2517.36 | *
    |    2197K |        - |    38_7598 |    38_7598 |    2517.39 | *
    |    2197K |        - |    37_7708 |    37_7708 |    2517.39 | *
    |    2197K |        - |    36_7689 |    36_7689 |    2518.58 | *
    |    2200K |        - |    36_7689 |    36_7689 |    2519.75 | 
    |    2247K |        - |    17_7428 |    36_7689 |    2543.25 | p-1
    | ILS perturbation level=1                      |    2543.25 | 
    |    2247K |        - |    17_7428 |    35_7427 |    2543.25 | p-1
    |    2247K |        - |    32_7422 |    32_7422 |    2543.58 | *
    |    2247K |        - |    31_7441 |    31_7441 |    2543.75 | *
    |    2253K |        - |    30_7497 |    30_7497 |    2547.03 | *
    |    2253K |        - |    30_7485 |    30_7485 |    2547.07 | *
    |    2254K |        - |    29_7499 |    29_7499 |    2547.61 | *
    |    2255K |        - |    29_7485 |    29_7485 |    2547.84 | *
    |    2269K |        - |    26_7421 |    26_7421 |    2555.55 | *
    |    2300K |        - |    26_7421 |    26_7421 |    2575.14 | 
    |    2319K |        - |    17_7428 |    26_7421 |    2582.89 | p-1
    | ILS perturbation level=1                      |    2582.89 | 
    |    2319K |        - |    17_7428 |    45_7332 |    2582.89 | p-1
    |    2319K |        - |    44_7337 |    44_7337 |    2583.14 | *
    |    2319K |        - |    37_7341 |    37_7341 |    2583.18 | *
    |    2319K |        - |    25_7439 |    25_7439 |    2583.19 | *
    |    2319K |        - |    24_7453 |    24_7453 |    2583.21 | *
